id,transaction_id,account_id,amount,date,description,category,merchant_name,merchant_typ,user_modified,user_modified_fields,date_temp
1,64b8647f76,d3fc7931fb,-200.0,2025-02-12,Redacted,Unknown,Redacted,Unknown,,,
2,8de4e926ff,d3fc7931fb,-200.0,2025-01-12,Redacted,Unknown,Redacted,Unknown,,,
3,05ad8cabd6,d3fc7931fb,-200.0,2024-12-12,Redacted,Unknown,Redacted,Unknown,,,
4,0287c6ee64,d3fc7931fb,-200.0,2024-11-12,Redacted,Unknown,Redacted,Unknown,,,
5,41aa2cfdbb,d3fc7931fb,-200.0,2024-10-11,Redacted,Unknown,Redacted,Unknown,,,
6,4d2d39c704,aa403aab34,250.0,2025-03-07,Redacted,general,Redacted,organization,,,
7,d2d84dfb01,aa403aab34,-200.0,2025-03-03,Redacted,Unknown,Redacted,Unknown,,,
8,ccc53fc099,aa403aab34,-100.0,2025-03-03,Redacted,Unknown,Redacted,Unknown,,,
9,021578e98e,aa403aab34,-25.0,2025-02-26,Redacted,Unknown,Redacted,Unknown,,,
10,be1ae1000a,aa403aab34,-32.5,2025-02-24,Redacted,general,Redacted,organization,,,
11,065bff9146,aa403aab34,250.0,2025-02-21,Redacted,general,Redacted,organization,,,
12,e94cd4eee8,aa403aab34,-150.0,2025-02-18,Redacted,Unknown,Redacted,Unknown,,,
13,2d6dcb8c85,aa403aab34,312.0,2025-02-18,Redacted,service,Redacted,organization,,,
14,5b3f9cc090,aa403aab34,-200.0,2025-02-12,Redacted,Unknown,Redacted,Unknown,,,
15,dfa17a0dfe,aa403aab34,-131.64,2025-02-12,Redacted,general,Redacted,organization,,,
16,a89200c073,aa403aab34,-25.0,2025-02-12,Redacted,Unknown,Redacted,Unknown,,,
17,4dd25a2431,aa403aab34,20.0,2025-02-11,Redacted,general,Redacted,organization,,,
18,433dc9040f,aa403aab34,-32.5,2025-02-10,Redacted,general,Redacted,organization,,,
19,64f03a4acb,aa403aab34,22.0,2025-02-10,Redacted,general,Redacted,organization,,,
20,8c734d4a6c,aa403aab34,75.0,2025-02-10,Redacted,service,Redacted,organization,,,
21,fb00163b0f,aa403aab34,250.0,2025-02-07,Redacted,general,Redacted,organization,,,
22,de924496c6,aa403aab34,-500.0,2025-02-05,Redacted,Unknown,Redacted,Unknown,,,
23,6511b422db,aa403aab34,60.0,2025-02-05,Redacted,general,Redacted,organization,,,
24,79b47cd381,aa403aab34,38.0,2025-02-05,Redacted,general,Redacted,organization,,,
25,46310e8346,aa403aab34,45.0,2025-02-05,Redacted,investment,Redacted,organization,,,
26,c9899a2454,aa403aab34,-300.0,2025-02-04,Redacted,Unknown,Redacted,Unknown,,,
27,98c120da18,aa403aab34,-200.0,2025-02-03,Redacted,Unknown,Redacted,Unknown,,,
28,5a3fa8f0f3,aa403aab34,-25.0,2025-01-29,Redacted,Unknown,Redacted,Unknown,,,
29,2cb6f5cea8,aa403aab34,20.0,2025-01-28,Redacted,general,Redacted,organization,,,
30,631bcf73e0,aa403aab34,-32.5,2025-01-27,Redacted,general,Redacted,organization,,,
31,2f3240ba2a,aa403aab34,250.0,2025-01-24,Redacted,general,Redacted,organization,,,
32,5eb6f8755d,aa403aab34,150.0,2025-01-21,Redacted,general,Redacted,organization,,,
33,1a69805906,aa403aab34,310.0,2025-01-21,Redacted,service,Redacted,organization,,,
34,67b16fadb0,aa403aab34,40.0,2025-01-21,Redacted,general,Redacted,organization,,,
35,a5eb2a481d,aa403aab34,-1100.0,2025-01-17,Redacted,general,Redacted,person,,,
36,7aa3476b81,aa403aab34,500.0,2025-01-17,Redacted,general,Redacted,organization,,,
37,471ef16988,aa403aab34,500.0,2025-01-17,Redacted,general,Redacted,organization,,,
38,325a70716f,aa403aab34,-25.0,2025-01-15,Redacted,Unknown,Redacted,Unknown,,,
39,df19414f4e,aa403aab34,-200.0,2025-01-13,Redacted,general,Redacted,organization,,,
40,d6e5007d27,aa403aab34,-131.64,2025-01-13,Redacted,general,Redacted,organization,,,
41,b05aa8d0d1,aa403aab34,-32.5,2025-01-13,Redacted,general,Redacted,organization,,,
42,af2cfe7ba4,aa403aab34,250.0,2025-01-10,Redacted,general,Redacted,organization,,,
43,d945c9c518,aa403aab34,-25.0,2025-01-02,Redacted,Unknown,Redacted,Unknown,,,
44,84fb35af27,aa403aab34,5.0,2025-01-02,Redacted,general,Redacted,organization,,,
45,f3dbdaba55,aa403aab34,-32.5,2024-12-30,Redacted,general,Redacted,organization,,,
46,d548a455ac,aa403aab34,50.0,2024-12-30,Redacted,general,Redacted,organization,,,
47,5619abc009,aa403aab34,250.0,2024-12-27,Redacted,general,Redacted,organization,,,
48,632b6b2a7a,aa403aab34,35.0,2024-12-20,Redacted,general,Redacted,organization,,,
49,5acaecb548,aa403aab34,-25.0,2024-12-18,Redacted,Unknown,Redacted,Unknown,,,
50,1ffdee6c79,aa403aab34,30.0,2024-12-18,Redacted,general,Redacted,organization,,,
51,ec1c223417,aa403aab34,-32.5,2024-12-16,Redacted,general,Redacted,organization,,,
52,c224e48372,aa403aab34,150.0,2024-12-16,Redacted,general,Redacted,organization,,,
53,d88ec2906f,aa403aab34,250.0,2024-12-13,Redacted,general,Redacted,organization,,,
54,02371aff18,aa403aab34,-200.0,2024-12-12,Redacted,general,Redacted,organization,,,
55,68135b8eae,aa403aab34,-131.64,2024-12-12,Redacted,general,Redacted,organization,,,
56,4abece58e7,aa403aab34,40.0,2024-12-12,Redacted,general,Redacted,organization,,,
57,3b95d8a54d,aa403aab34,12.0,2024-12-09,Redacted,general,Redacted,organization,,,
